TARIH;IHRACAT_MIKTAR1;YIL;AY
1.01.2002;184189;2002;1
1.02.2002;80840;2002;2
1.03.2002;87220;2002;3
1.04.2002;111252;2002;4
1.05.2002;404411;2002;5
1.06.2002;1435703;2002;6
1.07.2002;2704889;2002;7
1.08.2002;1078801;2002;8
1.09.2002;496134;2002;9
1.10.2002;233200;2002;10
1.11.2002;59000;2002;11
1.12.2002;158000;2002;12
1.01.2003;143000;2003;1
1.02.2003;216700;2003;2
1.03.2003;168900;2003;3
1.04.2003;143530;2003;4
1.05.2003;207443;2003;5
1.06.2003;1349409;2003;6
1.07.2003;3592162;2003;7
1.08.2003;2151481;2003;8
1.09.2003;352820;2003;9
1.10.2003;302000;2003;10
1.11.2003;164000;2003;11
1.12.2003;157179;2003;12
1.01.2004;144000;2004;1
1.02.2004;82000;2004;2
1.03.2004;70200;2004;3
1.04.2004;111098;2004;4
1.05.2004;779763;2004;5
1.06.2004;2619708;2004;6
1.07.2004;3066604;2004;7
1.08.2004;1430489;2004;8
1.09.2004;602903;2004;9
1.10.2004;147383;2004;10
1.11.2004;56400;2004;11
1.12.2004;33330;2004;12
1.01.2005;60000;2005;1
1.02.2005;77110;2005;2
1.03.2005;60150;2005;3
1.04.2005;148260;2005;4
1.05.2005;1994834;2005;5
1.06.2005;2090593;2005;6
1.07.2005;4795033;2005;7
1.08.2005;1424442;2005;8
1.09.2005;237402;2005;9
1.10.2005;96790;2005;10
1.11.2005;101850;2005;11
1.12.2005;66540;2005;12
1.01.2006;99153;2006;1
1.02.2006;104533;2006;2
1.03.2006;81600;2006;3
1.04.2006;101784;2006;4
1.05.2006;1526852;2006;5
1.06.2006;3897788;2006;6
1.07.2006;6186729;2006;7
1.08.2006;2532714;2006;8
1.09.2006;1036351;2006;9
1.10.2006;322440;2006;10
1.11.2006;188219;2006;11
1.12.2006;86190;2006;12
1.01.2007;90905;2007;1
1.02.2007;88850;2007;2
1.03.2007;174776;2007;3
1.04.2007;209476;2007;4
1.05.2007;2599436;2007;5
1.06.2007;5391557;2007;6
1.07.2007;5882117;2007;7
1.08.2007;1521901;2007;8
1.09.2007;461327;2007;9
1.10.2007;176950;2007;10
1.11.2007;75492;2007;11
1.12.2007;110824;2007;12
1.01.2008;91990;2008;1
1.02.2008;78630;2008;2
1.03.2008;92040;2008;3
1.04.2008;158122;2008;4
1.05.2008;6001575;2008;5
1.06.2008;4956791;2008;6
1.07.2008;9037123;2008;7
1.08.2008;2550656;2008;8
1.09.2008;745760;2008;9
1.10.2008;140274;2008;10
1.11.2008;77400;2008;11
1.12.2008;79364;2008;12
1.01.2009;69105;2009;1
1.02.2009;106282;2009;2
1.03.2009;173068;2009;3
1.04.2009;97237;2009;4
1.05.2009;2974991;2009;5
1.06.2009;4528032;2009;6
1.07.2009;8636934;2009;7
1.08.2009;2562638;2009;8
1.09.2009;641210;2009;9
1.10.2009;164003;2009;10
1.11.2009;89127;2009;11
1.12.2009;132530;2009;12
1.01.2010;82950;2010;1
1.02.2010;37200;2010;2
1.03.2010;85654;2010;3
1.04.2010;122369;2010;4
1.05.2010;9562039;2010;5
1.06.2010;6984414;2010;6
1.07.2010;8046812;2010;7
1.08.2010;1408676;2010;8
1.09.2010;299212;2010;9
1.10.2010;68850;2010;10
1.11.2010;81520;2010;11
1.12.2010;49700;2010;12
1.01.2011;8740;2011;1
1.02.2011;42775;2011;2
